sku,image name,title,brand,product_type,length
375934R-001,,375934R-001 - HP 60GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
318050R-001,,318050R-001 - HP 40GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
315961R-041,,315961R-041 - HP 40GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-636,,331415R-636 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
411897R-001,,411897R-001 - HP 40GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
406518R-001,,406518R-001 - HP 40GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
335176R-001,,335176R-001 - HP 40GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-627,,331415R-627 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
393659R-001,,393659R-001 - HP 40GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
394266R-001,,394266R-001 - HP 40GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
394453R-001,,394453R-001 - HP 40GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-358,,331415R-358 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-365,,331415R-365 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
495059R-001,,495059R-001 - HP 250GB 7200RPM SATA 3GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
